PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,objectid,object_thumb,object_location,reference_url
"7921","4645","NY","New York","New York City Library","Co theo","1730","","1875","","1730","1642","1875","4000","rec7835","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04645/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04645/full/full/0/default.jpg","http://localhost:4000/items/rec7835.html"
"1548","5816","PA","Philadelphia","Library Co. of Phila. and Loganian Library","Socl","1731","","1884","","1732","84","1875","104000","rec1534","https://puliiif-staging.princeton.edu/iiif/2/davies%2F05816/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F05816/full/full/0/default.jpg","http://localhost:4000/items/rec1534.html"
"7218","2716","MA","East Sudbury","East Sudbury Congregational Church","Church","1731","","1731","","","0","","0","rec7133","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02716/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02716/full/full/0/default.jpg","http://localhost:4000/items/rec7133.html"
"1031","382","CT","Durham","Book Company of Durham","Socl","1733","","","1856","","0","","0","rec1023","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00382/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00382/full/full/0/default.jpg","http://localhost:4000/items/rec1023.html"
"7383","42118","VA","Germanna","Parochial Library","Church","1735","","1735","","","0","","0","rec7298","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42118/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42118/full/full/0/default.jpg","http://localhost:4000/items/rec7298.html"
"7409","41104","GA","Savannah","Parochial Library","Church","1735","","1735","","","0","","0","rec7324","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41104/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41104/full/full/0/default.jpg","http://localhost:4000/items/rec7324.html"
"4007","5765","PA","Philadelphia","Carpenter&#39;s Company of Phila","Sci eng socy","1736","","1884","","1857","1500","1875","3602","rec3932","https://puliiif-staging.princeton.edu/iiif/2/davies%2F05765/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F05765/full/full/0/default.jpg","http://localhost:4000/items/rec3932.html"
"7186","42062","NH","Portsmouth","Parochial Library","Church","1736","","1736","","","0","","0","rec7101","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42062/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42062/full/full/0/default.jpg","http://localhost:4000/items/rec7101.html"
"7258","41089","CT","New London","Parochial Library","Church","1736","","1736","","","0","","0","rec7173","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41089/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41089/full/full/0/default.jpg","http://localhost:4000/items/rec7173.html"
"7274","41088","CT","New Haven","Parochial Library","Church","1736","","1736","","","0","","0","rec7189","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41088/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41088/full/full/0/default.jpg","http://localhost:4000/items/rec7189.html"
