location,count,link
"brighton",5,"http://localhost:4000/browse.html#brighton"
"fall river",5,"http://localhost:4000/browse.html#fall%20river"
"cedar falls",5,"http://localhost:4000/browse.html#cedar%20falls"
"abingdon",5,"http://localhost:4000/browse.html#abingdon"
"winchendon",5,"http://localhost:4000/browse.html#winchendon"
"middleton",5,"http://localhost:4000/browse.html#middleton"
"mansfield",5,"http://localhost:4000/browse.html#mansfield"
"natchez",5,"http://localhost:4000/browse.html#natchez"
"la grange",5,"http://localhost:4000/browse.html#la%20grange"
"russellville",5,"http://localhost:4000/browse.html#russellville"
"foster",5,"http://localhost:4000/browse.html#foster"
"waterbury",5,"http://localhost:4000/browse.html#waterbury"
"bowling green",5,"http://localhost:4000/browse.html#bowling%20green"
"nelson",5,"http://localhost:4000/browse.html#nelson"
"ithaca",5,"http://localhost:4000/browse.html#ithaca"
"shrewsbury",5,"http://localhost:4000/browse.html#shrewsbury"
"ashland",5,"http://localhost:4000/browse.html#ashland"
"san antonio",5,"http://localhost:4000/browse.html#san%20antonio"
"xenia",5,"http://localhost:4000/browse.html#xenia"
"circleville",5,"http://localhost:4000/browse.html#circleville"
"laporte",5,"http://localhost:4000/browse.html#laporte"
"battle creek",5,"http://localhost:4000/browse.html#battle%20creek"
"coventry",5,"http://localhost:4000/browse.html#coventry"
"jennings",5,"http://localhost:4000/browse.html#jennings"
"palmyra",5,"http://localhost:4000/browse.html#palmyra"
"wakefield",5,"http://localhost:4000/browse.html#wakefield"
"woodbridge",5,"http://localhost:4000/browse.html#woodbridge"
"rockport",5,"http://localhost:4000/browse.html#rockport"
"pittsford",5,"http://localhost:4000/browse.html#pittsford"
"westchester",5,"http://localhost:4000/browse.html#westchester"
"uniontown",5,"http://localhost:4000/browse.html#uniontown"
"greenwood",5,"http://localhost:4000/browse.html#greenwood"
"north bend",5,"http://localhost:4000/browse.html#north%20bend"
"rock island",4,"http://localhost:4000/browse.html#rock%20island"
"german",4,"http://localhost:4000/browse.html#german"
"nevada city",4,"http://localhost:4000/browse.html#nevada%20city"
"new market",4,"http://localhost:4000/browse.html#new%20market"
"charles county",4,"http://localhost:4000/browse.html#charles%20county"
"killingly",4,"http://localhost:4000/browse.html#killingly"
"flint",4,"http://localhost:4000/browse.html#flint"
"wells",4,"http://localhost:4000/browse.html#wells"
"racine",4,"http://localhost:4000/browse.html#racine"
"saginaw",4,"http://localhost:4000/browse.html#saginaw"
"eugene",4,"http://localhost:4000/browse.html#eugene"
"newtown",4,"http://localhost:4000/browse.html#newtown"
"carlinville",4,"http://localhost:4000/browse.html#carlinville"
"north guilford",4,"http://localhost:4000/browse.html#north%20guilford"
"brookline",4,"http://localhost:4000/browse.html#brookline"
"atchison",4,"http://localhost:4000/browse.html#atchison"
"malden",4,"http://localhost:4000/browse.html#malden"
"centre",4,"http://localhost:4000/browse.html#centre"
"blue river",4,"http://localhost:4000/browse.html#blue%20river"
"weare",4,"http://localhost:4000/browse.html#weare"
"worthington",4,"http://localhost:4000/browse.html#worthington"
"benton",4,"http://localhost:4000/browse.html#benton"
"west greenwich",4,"http://localhost:4000/browse.html#west%20greenwich"
"harvard",4,"http://localhost:4000/browse.html#harvard"
